Instrument,Strategy,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Contracts,PnL,Cumulative_PnL,PnL_%,Cumulative_PnL_%,Peak_to_Peak_DD_%,Duration_Hours,Entry_Signal,Exit_Signal,Max_Favorable_Excursion,Max_Adverse_Excursion,Trade_Efficiency
MNQ,Fast,2015-03-31 15:50:00,2015-04-02 15:50:00,6428.75,6413.25,2.0,-62.0,3279.0,-0.00496,0.13116,-0.03088,48.0,LE2.Fast.C,LX2.Fast.C,259.0,-42.0,0.6545000000000001
MNQ,Slow,2015-04-07 15:35:00,2015-04-08 15:35:00,6439.25,6479.75,2.0,162.0,3441.0,0.01296,0.13764,-0.0244,24.0,LE.Slow.C,LX1.Slow.C,27.0,-169.0,0.9643
MNQ,Fast,2015-04-07 15:50:00,2015-04-08 15:50:00,6437.75,6481.75,2.0,176.0,3617.0,0.01408,0.14468,-0.01736,24.0,LE2.Fast.C,LX2.Fast.C,21.0,-177.0,0.9948999999999999
MNQ,Fast,2015-04-30 15:50:00,2015-05-01 15:50:00,6519.25,6572.5,2.0,213.0,3830.0,0.01704,0.1532,-0.00884,24.0,LE2.Fast.C,LX2.Fast.C,18.0,-226.0,0.9467
MNQ,Slow,2015-05-05 15:35:00,2015-05-08 15:35:00,6513.5,6554.5,2.0,164.0,3994.0,0.01312,0.15976,-0.00228,72.0,LE.Slow.C,LX1.Slow.C,304.0,-217.0,0.8983
MNQ,Fast,2015-05-05 15:50:00,2015-05-07 15:50:00,6515.25,6505.5,2.0,-39.0,3955.0,-0.00312,0.1582,-0.00384,48.0,LE2.Fast.C,LX2.Fast.C,311.0,-53.0,0.7473000000000001
MNQ,Slow,2015-05-11 15:35:00,2015-05-12 15:35:00,6535.75,6526.0,2.0,-39.0,3916.0,-0.00312,0.15664,-0.0054,24.0,LE.Slow.C,LX1.Slow.C,225.0,-29.0,0.7323000000000001
MNQ,Fast,2015-05-11 15:50:00,2015-05-12 15:50:00,6532.5,6525.5,2.0,-28.0,3888.0,-0.00224,0.15552,-0.00652,24.0,LE2.Fast.C,LX2.Fast.C,212.0,-42.0,0.7243999999999999
MNQ,Slow,2015-05-13 15:35:00,2015-05-14 15:35:00,6529.0,6595.75,2.0,267.0,4155.0,0.02136,0.1662,0.0,24.0,LE.Slow.C,LX1.Slow.C,45.0,-276.0,0.972
MNQ,Fast,2015-05-13 15:50:00,2015-05-14 15:00:00,6531.25,6595.0,2.0,255.0,4410.0,0.0204,0.1764,0.0,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,54.0,-263.0,0.9748
MNQ,Fast,2015-05-20 15:50:00,2015-05-21 15:50:00,6607.75,6634.75,2.0,108.0,4518.0,0.00864,0.18072,0.0,24.0,LE2.Fast.C,LX2.Fast.C,65.0,-135.0,0.865
MNQ,Slow,2015-06-15 15:35:00,2015-06-17 15:35:00,6538.5,6566.0,2.0,110.0,4628.0,0.0088,0.18512,0.0,48.0,LE.Slow.C,LX1.Slow.C,125.0,-196.0,0.7321
MNQ,Fast,2015-06-15 15:50:00,2015-06-16 15:50:00,6537.75,6563.5,2.0,103.0,4731.0,0.00824,0.18924,0.0,24.0,LE2.Fast.C,LX2.Fast.C,122.0,-121.0,0.9259000000000001
MNQ,Slow,2015-06-25 15:20:00,2015-07-02 15:35:00,6620.5,6540.0,2.0,-322.0,4409.0,-0.02576,0.17636,-0.01288,168.25,LE.Slow.C,LX1.Slow.C,563.0,-32.0,0.405
MNQ,Fast,2015-06-25 15:50:00,2015-07-01 15:50:00,6617.25,6534.5,2.0,-331.0,4078.0,-0.02648,0.16312,-0.02612,144.0,LE2.Fast.C,LX2.Fast.C,550.0,-45.0,0.36810000000000004
MNQ,Slow,2015-07-08 15:35:00,2015-07-10 15:35:00,6458.0,6520.5,2.0,250.0,4328.0,0.02,0.17312,-0.01612,48.0,LE.Slow.C,LX1.Slow.C,59.0,-320.0,0.8153
MNQ,Fast,2015-07-08 15:50:00,2015-07-09 15:00:00,6459.75,6462.5,2.0,11.0,4339.0,0.00088,0.17356,-0.01568,23.166666666666668,LE2.Fast.C,LX.Gap.Fast.C,21.0,-239.0,0.1231
MNQ,Fast,2015-07-09 15:50:00,2015-07-10 15:50:00,6451.5,6521.0,2.0,278.0,4617.0,0.02224,0.18468,-0.00456,24.0,LE2.Fast.C,LX2.Fast.C,3.0,-346.0,0.8051999999999999
MNQ,Fast,2015-07-21 15:50:00,2015-07-23 15:50:00,6731.5,6741.75,2.0,41.0,4658.0,0.00328,0.18632,-0.00292,48.0,LE2.Fast.C,LX2.Fast.C,143.0,-66.0,0.8804000000000001
MNQ,Slow,2015-07-27 15:35:00,2015-07-30 15:35:00,6634.25,6707.5,2.0,293.0,4951.0,0.02344,0.19804,0.0,72.0,LE.Slow.C,LX1.Slow.C,103.0,-304.0,0.973
